% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.021	1	22	3	2	1	0	81	0	0
0.021	2	15	3	2	1	0	81	0	0
0.021	3	17	3	2	1	0	81	0	0
0.021	4	19	3	2	1	0	81	0	0
0.021	6	7	3	2	1	0	81	0	0
0.021	7	11	3	2	1	0	81	0	0
0.021	8	20	3	2	1	0	81	0	0
0.021	9	6	3	2	1	0	81	0	0
0.021	10	1	3	2	1	0	81	0	0
0.021	11	2	3	2	1	0	81	0	0
0.021	12	3	3	2	1	0	81	0	0
0.021	13	4	3	2	1	0	81	0	0
0.022	1	18	3	3	2	0	81	0	0
0.022	2	14	3	3	2	0	81	0	0
0.022	3	16	3	3	2	0	81	0	0
0.022	4	5	3	3	2	0	81	0	0
0.022	6	23	3	3	2	0	81	0	0
0.022	7	11	3	3	1	0	81	0	0
0.022	8	20	3	3	1	0	81	0	0
0.022	9	21	3	3	2	0	81	0	0
0.022	10	1	3	3	1	0	81	0	0
0.022	11	2	3	3	1	0	81	0	0
0.022	12	3	3	3	1	0	81	0	0
0.022	13	4	3	3	1	0	81	0	0
0.023	1	22	3	4	1	0	81	0	0
0.023	2	15	3	4	1	0	81	0	0
0.023	3	17	3	4	1	0	81	0	0
0.023	4	19	3	4	1	0	81	0	0
0.023	6	13	3	4	3	0	81	0	0
0.023	7	11	3	4	1	0	81	0	0
0.023	8	20	3	4	1	0	81	0	0
0.023	9	12	3	4	3	0	81	0	0
0.023	10	1	3	4	1	0	81	0	0
0.023	11	2	3	4	1	0	81	0	0
0.023	12	3	3	4	1	0	81	0	0
0.023	13	4	3	4	1	0	81	0	0
0.024	1	18	3	5	2	0	81	0	0
0.024	2	14	3	5	2	0	81	0	0
0.024	3	16	3	5	2	0	81	0	0
0.024	4	5	3	5	2	0	81	0	0
0.024	6	7	3	5	1	0	81	0	0
0.024	7	11	3	5	1	0	81	0	0
0.024	8	20	3	5	1	0	81	0	0
0.024	9	6	3	5	1	0	81	0	0
0.024	10	1	3	5	1	0	81	0	0
0.024	11	2	3	5	1	0	81	0	0
0.024	12	3	3	5	1	0	81	0	0
0.024	13	4	3	5	1	0	81	0	0
0.025	1	22	3	6	1	0	81	0	0
0.025	2	15	3	6	1	0	81	0	0
0.025	3	17	3	6	1	0	81	0	0
0.025	4	19	3	6	1	0	81	0	0
0.025	6	23	3	6	2	0	81	0	0
0.025	7	11	3	6	1	0	81	0	0
0.025	8	20	3	6	1	0	81	0	0
0.025	9	21	3	6	2	0	81	0	0
0.025	10	1	3	6	1	0	81	0	0
0.025	11	2	3	6	1	0	81	0	0
0.025	12	3	3	6	1	0	81	0	0
0.025	13	4	3	6	1	0	81	0	0
0.026	1	18	3	7	2	28	2196	0	0
0.026	2	14	3	7	2	28	2196	0	0
0.026	3	16	3	7	2	28	2196	0	0
0.026	4	5	3	7	2	28	2196	0	0
0.026	6	13	3	7	3	28	2196	0	0
0.026	7	9	3	7	2	0	81	0	0
0.026	8	20	3	7	1	28	2196	0	0
0.026	9	12	3	7	3	28	2196	0	0
0.026	10	1	3	7	1	28	2196	0	0
0.026	11	2	3	7	1	28	2196	0	0
0.026	12	3	3	7	1	28	2196	0	0
0.026	13	4	3	7	1	28	2196	0	0
0.027	1	22	3	8	1	28	2196	0	0
0.027	2	15	3	8	1	28	2196	0	0
0.027	3	17	3	8	1	28	2196	0	0
0.027	4	19	3	8	1	28	2196	0	0
0.027	6	7	3	8	1	28	2196	0	0
0.027	7	10	3	8	3	0	81	0	0
0.027	8	20	3	8	1	28	2196	0	0
0.027	9	6	3	8	1	28	2196	0	0
0.027	10	1	3	8	1	28	2196	0	0
0.027	11	2	3	8	1	28	2196	0	0
0.027	12	3	3	8	1	28	2196	0	0
0.027	13	4	3	8	1	28	2196	0	0
0.028	1	18	3	9	2	28	2196	0	0
0.028	2	14	3	9	2	28	2196	0	0
0.028	3	16	3	9	2	28	2196	0	0
0.028	4	5	3	9	2	28	2196	0	0
0.028	6	23	3	9	2	28	2196	0	0
0.028	7	11	3	9	1	28	2196	0	0
0.028	8	20	3	9	1	28	2196	0	0
0.028	9	21	3	9	2	28	2196	0	0
0.028	10	1	3	9	1	28	2196	0	0
0.028	11	2	3	9	1	28	2196	0	0
0.028	12	3	3	9	1	28	2196	0	0
0.028	13	4	3	9	1	28	2196	0	0
0.029	1	22	3	10	1	28	2196	0	0
0.029	2	15	3	10	1	28	2196	0	0
0.029	3	17	3	10	1	28	2196	0	0
0.029	4	19	3	10	1	28	2196	0	0
0.029	6	13	3	10	3	28	2196	0	0
0.029	7	11	3	10	1	28	2196	0	0
0.029	8	20	3	10	1	28	2196	0	0
0.029	9	12	3	10	3	28	2196	0	0
0.029	10	1	3	10	1	28	2196	0	0
0.029	11	2	3	10	1	28	2196	0	0
0.029	12	3	3	10	1	28	2196	0	0
0.029	13	4	3	10	1	28	2196	0	0
0.03	1	18	4	1	2	12	597	0	0
0.03	2	15	4	1	1	12	597	0	0
0.03	3	17	4	1	1	18	967	0	0
0.03	4	5	4	1	2	16	903	0	0
0.03	6	23	4	1	2	18	967	0	0
0.03	7	9	4	1	2	0	81	0	0
0.03	8	20	4	1	1	0	81	0	0
0.03	9	6	4	1	1	2	133	0	0
0.03	10	1	4	1	1	8	421	0	0
0.03	11	2	4	1	1	16	903	0	0
0.03	12	3	4	1	1	8	421	0	0
0.03	13	4	4	1	1	2	133	0	0
0.031	1	18	4	2	2	12	597	0	0
0.031	2	15	4	2	1	12	597	0	0
0.031	3	17	4	2	1	18	967	0	0
0.031	4	5	4	2	2	16	903	0	0
0.031	6	23	4	2	2	18	967	0	0
0.031	7	10	4	2	3	8	421	0	0
0.031	8	20	4	2	1	0	81	0	0
0.031	9	6	4	2	1	2	133	0	0
0.031	10	1	4	2	1	8	421	0	0
0.031	11	2	4	2	1	16	903	0	0
0.031	12	3	4	2	1	8	421	0	0
0.031	13	4	4	2	1	2	133	0	0
0.032	1	18	4	3	2	12	597	0	0
0.032	2	15	4	3	1	12	597	0	0
0.032	3	17	4	3	1	18	967	0	0
0.032	4	19	4	3	1	14	775	0	0
0.032	6	23	4	3	2	18	967	0	0
0.032	7	10	4	3	3	8	421	0	0
0.032	8	20	4	3	1	0	81	0	0
0.032	9	21	4	3	2	0	81	0	0
0.032	10	1	4	3	1	8	421	0	0
0.032	11	2	4	3	1	16	903	0	0
0.032	12	3	4	3	1	8	421	0	0
0.032	13	4	4	3	1	2	133	0	0
0.033	1	18	4	4	2	28	2196	0	0
0.033	2	14	4	4	2	28	2196	0	0
0.033	3	16	4	4	2	28	2196	0	0
0.033	4	5	4	4	2	28	2196	0	0
0.033	6	13	4	4	3	28	2196	0	0
0.033	7	9	4	4	2	2	133	0	0
0.033	8	20	4	4	1	28	2196	0	0
0.033	9	6	4	4	1	2	133	0	0
0.033	10	1	4	4	1	28	2196	0	0
0.033	11	2	4	4	1	28	2196	0	0
0.033	12	3	4	4	1	28	2196	0	0
0.033	13	4	4	4	1	28	2196	0	0
0.034	1	22	4	5	1	28	2196	0	0
0.034	2	15	4	5	1	28	2196	0	0
0.034	3	17	4	5	1	28	2196	0	0
0.034	4	19	4	5	1	28	2196	0	0
0.034	6	7	4	5	1	28	2196	0	0
0.034	7	10	4	5	3	8	421	0	0
0.034	8	20	4	5	1	28	2196	0	0
0.034	9	6	4	5	1	28	2196	0	0
0.034	10	1	4	5	1	28	2196	0	0
0.034	11	2	4	5	1	28	2196	0	0
0.034	12	3	4	5	1	28	2196	0	0
0.034	13	4	4	5	1	28	2196	0	0
0.035	1	18	4	6	2	28	2196	0	0
0.035	2	14	4	6	2	28	2196	0	0
0.035	3	16	4	6	2	28	2196	0	0
0.035	4	5	4	6	2	28	2196	0	0
0.035	6	23	4	6	2	28	2196	0	0
0.035	7	11	4	6	1	28	2196	0	0
0.035	8	20	4	6	1	28	2196	0	0
0.035	9	6	4	6	1	2	133	0	0
0.035	10	1	4	6	1	28	2196	0	0
0.035	11	2	4	6	1	28	2196	0	0
0.035	12	3	4	6	1	28	2196	0	0
0.035	13	4	4	6	1	28	2196	0	0
0.036	1	22	4	7	1	28	2196	0	0
0.036	2	15	4	7	1	28	2196	0	0
0.036	3	17	4	7	1	28	2196	0	0
0.036	4	19	4	7	1	28	2196	0	0
0.036	6	13	4	7	3	28	2196	0	0
0.036	7	11	4	7	1	28	2196	0	0
0.036	8	20	4	7	1	28	2196	0	0
0.036	9	12	4	7	3	28	2196	0	0
0.036	10	1	4	7	1	28	2196	0	0
0.036	11	2	4	7	1	28	2196	0	0
0.036	12	3	4	7	1	28	2196	0	0
0.036	13	4	4	7	1	28	2196	0	0
0.037	1	22	4	8	1	10	469	0	0
0.037	2	15	4	8	1	12	597	0	0
0.037	3	17	4	8	1	18	967	0	0
0.037	4	5	4	8	2	16	903	0	0
0.037	6	23	4	8	2	18	967	0	0
0.037	7	9	4	8	2	2	133	0	0
0.037	8	20	4	8	1	0	81	0	0
0.037	9	6	4	8	1	2	133	0	0
0.037	10	1	4	8	1	8	421	0	0
0.037	11	2	4	8	1	16	903	0	0
0.037	12	3	4	8	1	8	421	0	0
0.037	13	4	4	8	1	2	133	0	0
0.038	1	18	4	9	2	12	597	0	0
0.038	2	15	4	9	1	12	597	0	0
0.038	3	17	4	9	1	18	967	0	0
0.038	4	19	4	9	1	14	775	0	0
0.038	6	7	4	9	1	8	421	0	0
0.038	7	10	4	9	3	8	421	0	0
0.038	8	20	4	9	1	0	81	0	0
