% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.026	1	22	3	7	1	0	41
0.026	1	18	3	7	2	0	41
0.026	2	15	3	7	1	0	41
0.026	2	14	3	7	2	0	41
0.026	3	17	3	7	1	0	41
0.026	3	16	3	7	2	0	41
0.026	4	19	3	7	1	0	41
0.026	4	5	3	7	2	0	41
0.026	6	7	3	7	1	0	26
0.026	6	23	3	7	2	0	26
0.026	6	13	3	7	3	0	26
0.026	7	11	3	7	1	0	85
0.026	8	20	3	7	1	0	85
0.026	9	6	3	7	1	0	26
0.026	9	21	3	7	2	0	26
0.026	9	12	3	7	3	0	26
0.026	10	1	3	7	1	0	85
0.026	11	2	3	7	1	0	85
0.026	12	3	3	7	1	0	85
0.026	13	4	3	7	1	0	85
0.027	1	22	3	8	1	0	41
0.027	1	18	3	8	2	0	41
0.027	2	15	3	8	1	0	41
0.027	2	14	3	8	2	0	41
0.027	3	17	3	8	1	0	41
0.027	3	16	3	8	2	0	41
0.027	4	19	3	8	1	0	41
0.027	4	5	3	8	2	0	41
0.027	6	7	3	8	1	0	26
0.027	6	23	3	8	2	0	26
0.027	6	13	3	8	3	0	26
0.027	7	11	3	8	1	0	85
0.027	8	20	3	8	1	0	85
0.027	9	6	3	8	1	0	26
0.027	9	21	3	8	2	0	26
0.027	9	12	3	8	3	0	26
0.027	10	1	3	8	1	0	85
0.027	11	2	3	8	1	0	85
0.027	12	3	3	8	1	0	85
0.027	13	4	3	8	1	0	85
0.028	1	22	3	9	1	0	41
0.028	1	18	3	9	2	0	41
0.028	2	15	3	9	1	0	41
0.028	2	14	3	9	2	0	41
0.028	3	17	3	9	1	0	41
0.028	3	16	3	9	2	0	41
0.028	4	19	3	9	1	0	41
0.028	4	5	3	9	2	0	41
0.028	6	7	3	9	1	0	26
0.028	6	23	3	9	2	0	26
0.028	6	13	3	9	3	0	26
0.028	7	11	3	9	1	0	85
0.028	8	20	3	9	1	0	85
0.028	9	6	3	9	1	0	26
0.028	9	21	3	9	2	0	26
0.028	9	12	3	9	3	0	26
0.028	10	1	3	9	1	0	85
0.028	11	2	3	9	1	0	85
0.028	12	3	3	9	1	0	85
0.028	13	4	3	9	1	0	85
0.029	1	22	3	10	1	0	41
0.029	1	18	3	10	2	0	41
0.029	2	15	3	10	1	0	41
0.029	2	14	3	10	2	0	41
0.029	3	17	3	10	1	0	41
