% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.261	1	20	27	2	1	0	81	0	0
0.261	2	21	27	2	1	0	81	0	0
0.261	4	12	27	2	1	0	81	0	0
0.261	5	23	27	2	1	0	81	0	0
0.261	6	15	27	2	1	0	81	0	0
0.261	9	17	27	2	1	0	81	0	0
0.261	11	2	27	2	1	0	81	0	0
0.261	12	3	27	2	1	0	81	0	0
0.261	13	4	27	2	1	0	81	0	0
0.262	1	10	27	3	2	0	81	0	0
0.262	2	16	27	3	2	0	81	0	0
0.262	4	6	27	3	2	0	81	0	0
0.262	5	23	27	3	1	0	81	0	0
0.262	6	8	27	3	2	0	81	0	0
0.262	9	17	27	3	1	0	81	0	0
0.262	10	1	27	3	1	0	81	0	0
0.262	11	2	27	3	1	0	81	0	0
0.262	12	3	27	3	1	0	81	0	0
0.262	13	4	27	3	1	0	81	0	0
0.263	1	11	27	4	3	0	81	0	0
0.263	2	21	27	4	1	0	81	0	0
0.263	4	19	27	4	3	0	81	0	0
0.263	5	23	27	4	1	0	81	0	0
0.263	6	14	27	4	3	0	81	0	0
0.263	9	17	27	4	1	0	81	0	0
0.263	10	1	27	4	1	0	81	0	0
0.263	11	2	27	4	1	0	81	0	0
0.263	12	3	27	4	1	0	81	0	0
0.263	13	4	27	4	1	0	81	0	0
0.264	1	20	27	5	1	0	81	0	0
0.264	2	16	27	5	2	0	81	0	0
0.264	4	22	27	5	4	0	81	0	0
0.264	5	23	27	5	1	0	81	0	0
0.264	6	7	27	5	4	0	81	0	0
0.264	9	17	27	5	1	0	81	0	0
0.264	10	1	27	5	1	0	81	0	0
0.264	11	2	27	5	1	0	81	0	0
0.264	12	3	27	5	1	0	81	0	0
0.264	13	4	27	5	1	0	81	0	0
0.265	1	10	27	6	2	0	81	0	0
0.265	2	21	27	6	1	0	81	0	0
0.265	4	12	27	6	1	0	81	0	0
0.265	5	23	27	6	1	0	81	0	0
0.265	6	15	27	6	1	0	81	0	0
0.265	9	17	27	6	1	0	81	0	0
0.265	10	1	27	6	1	0	81	0	0
0.265	11	2	27	6	1	0	81	0	0
0.265	12	3	27	6	1	0	81	0	0
0.265	13	4	27	6	1	0	81	0	0
0.266	1	11	27	7	3	18	967	0	0
0.266	2	21	27	7	1	16	903	0	0
0.266	4	9	27	7	6	0	81	0	0
0.266	5	23	27	7	1	12	597	0	0
0.266	6	7	27	7	4	14	775	0	0
0.266	9	17	27	7	1	22	1383	0	0
0.266	10	1	27	7	1	28	2196	0	0
0.266	11	2	27	7	1	28	2196	0	0
0.266	12	3	27	7	1	28	2196	0	0
0.266	13	4	27	7	1	28	2196	0	0
0.267	1	10	27	8	2	16	903	0	0
0.267	2	16	27	8	2	12	597	0	0
0.267	4	6	27	8	2	20	1191	0	0
0.267	5	23	27	8	1	12	597	0	0
0.267	6	8	27	8	2	12	597	0	0
0.267	9	17	27	8	1	22	1383	0	0
0.267	10	1	27	8	1	28	2196	0	0
0.267	11	2	27	8	1	28	2196	0	0
0.267	12	3	27	8	1	28	2196	0	0
0.267	13	4	27	8	1	28	2196	0	0
0.268	1	20	27	9	1	10	469	0	0
0.268	2	21	27	9	1	16	903	0	0
0.268	4	22	27	9	4	20	1191	0	0
0.268	5	23	27	9	1	12	597	0	0
0.268	6	14	27	9	3	12	597	0	0
0.268	9	17	27	9	1	22	1383	0	0
0.268	10	1	27	9	1	28	2196	0	0
0.268	11	2	27	9	1	28	2196	0	0
0.268	12	3	27	9	1	28	2196	0	0
0.268	13	4	27	9	1	28	2196	0	0
0.269	1	11	27	10	3	18	967	0	0
0.269	2	16	27	10	2	12	597	0	0
0.269	4	19	27	10	3	12	597	0	0
0.269	5	23	27	10	1	12	597	0	0
0.269	6	15	27	10	1	4	217	0	0
0.269	9	17	27	10	1	22	1383	0	0
0.269	10	1	27	10	1	28	2196	0	0
0.269	11	2	27	10	1	28	2196	0	0
0.269	12	3	27	10	1	28	2196	0	0
0.269	13	4	27	10	1	28	2196	0	0
0.27	1	10	28	1	2	8	421	0	0
0.27	2	21	28	1	1	10	469	0	0
0.27	4	12	28	1	1	8	421	0	0
0.27	5	23	28	1	1	8	421	0	0
0.27	6	14	28	1	3	8	421	0	0
0.27	9	17	28	1	1	14	775	0	0
0.27	10	1	28	1	1	18	967	0	0
0.27	11	2	28	1	1	26	1836	0	0
0.27	12	3	28	1	1	28	2196	0	0
0.27	13	4	28	1	1	18	967	0	0
0.271	1	20	28	2	1	4	217	0	0
0.271	2	21	28	2	1	10	469	0	0
0.271	4	9	28	2	6	2	133	0	0
0.271	5	23	28	2	1	8	421	0	0
0.271	6	7	28	2	4	10	469	0	0
0.271	9	17	28	2	1	14	775	0	0
0.271	10	1	28	2	1	18	967	0	0
