% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.266	1	20	27	7	1	0	26
0.266	1	10	27	7	2	0	26
0.266	1	11	27	7	3	0	26
0.266	2	21	27	7	1	0	85
0.266	4	12	27	7	1	0	19
0.266	4	6	27	7	2	0	19
0.266	4	19	27	7	3	0	19
0.266	4	22	27	7	4	0	19
0.266	5	23	27	7	1	0	85
0.266	6	15	27	7	1	0	26
0.266	6	8	27	7	2	0	26
0.266	6	7	27	7	4	0	26
0.266	9	17	27	7	1	0	85
0.266	11	2	27	7	1	0	85
0.266	12	3	27	7	1	0	85
0.266	13	4	27	7	1	0	85
0.267	1	20	27	8	1	0	26
0.267	1	10	27	8	2	0	26
0.267	1	11	27	8	3	0	26
0.267	2	21	27	8	1	0	41
0.267	2	16	27	8	2	0	41
0.267	4	12	27	8	1	0	19
0.267	4	6	27	8	2	0	19
0.267	4	19	27	8	3	0	19
0.267	4	22	27	8	4	0	19
0.267	5	23	27	8	1	0	85
0.267	6	15	27	8	1	0	19
0.267	6	8	27	8	2	0	19
0.267	6	14	27	8	3	0	19
0.267	6	7	27	8	4	0	19
0.267	9	17	27	8	1	0	85
0.267	10	1	27	8	1	0	85
0.267	11	2	27	8	1	0	85
0.267	12	3	27	8	1	0	85
0.267	13	4	27	8	1	0	85
0.268	1	20	27	9	1	0	26
0.268	1	10	27	9	2	0	26
0.268	1	11	27	9	3	0	26
0.268	2	21	27	9	1	0	41
0.268	2	16	27	9	2	0	41
0.268	4	12	27	9	1	0	19
0.268	4	6	27	9	2	0	19
0.268	4	19	27	9	3	0	19
0.268	4	22	27	9	4	0	19
0.268	5	23	27	9	1	0	85
0.268	6	15	27	9	1	0	19
0.268	6	8	27	9	2	0	19
0.268	6	14	27	9	3	0	19
0.268	6	7	27	9	4	0	19
0.268	9	17	27	9	1	0	85
0.268	10	1	27	9	1	0	85
0.268	11	2	27	9	1	0	85
0.268	12	3	27	9	1	0	85
0.268	13	4	27	9	1	0	85
0.269	1	20	27	10	1	0	26
0.269	1	10	27	10	2	0	15
0.269	2	21	27	10	1	0	41
0.269	2	16	27	10	2	0	41
0.269	4	12	27	10	1	0	19
